syn_obs
2.24
2.16
1.94
1.76
1.41
1.23
1.24
0.99
0.68
0.59
0.49
0.47
0.36
0.41
0.41
0.51
0.36
0.55
0.36
0.28
0.32
0.42
0.16
0.21
0.39
0.34
0.29
0.29
0.28
0.13
0.25
0.54
0.82
1.15
1.5
1.71
1.82
1.95
2.34
2.42
2.54
2.6
2.77
2.78
2.84
2.91
2.95
3.1
3.1
3.09
3.19
3.1
2.89
2.56
2.13
1.89
1.66
1.43
1.36
1.22
0.95
0.79
0.65
0.61
0.61
0.52
0.51
0.53
0.52
0.35
0.47
0.49
0.37
0.42
0.35
0.27
0.28
0.28
0.26
0.27
0.22
0.23
0.36
0.43
0.68
0.8
0.99
1.26
1.51
1.71
1.9
2.2
2.47
2.65
2.76
2.81
2.99
2.97
2.99
2.97
2.91
2.92
2.86
2.73
2.54
2.27
2.23
1.92
1.82
1.47
1.4
1.22
1.12
0.79
0.67
0.54
0.51
0.48
0.42
0.36
0.43
0.48
0.42
0.36
0.3
0.31
0.37
0.31
0.28
0.35
0.32
0.28
0.25
0.27
0.36
0.64
0.65
0.75
1.05
1.28
1.48
1.75
2.01
2.19
2.36
2.47
2.55
2.74
2.77
2.78
2.77
2.71
2.66
2.49
2.32
2.37
2.45
2.48
2.25
2.13
1.85
1.71
1.51
1.25
0.87
0.52
0.35
0.33
0.42
0.42
0.44
0.36
0.4
0.42
0.32
0.22
0.2
0.17
0.25
0.33
0.3
0.25
0.23
0.15
0.12
0.09
0.09
-0.05
0.16
0.46
0.74
1.09
1.52
1.79
1.97
2.23
2.44
2.73
2.76
2.83
2.92
2.86
2.9
2.91
2.81
2.77
2.67
2.67
2.72
2.4
2.36
2.29
1.57
1.44
1.18
1.03
0.65
0.4
0.35
0.31
0.32
0.15
0.18
0.22
0.25
0.27
0.18
0.09
0.09
0.02
-0.01
-0.13
-0.14
-0.09
-0.08
-0.06
-0.03
-0.05
-0.08
-0.05
0.07
0.28
0.43
0.67
0.9
1.25
1.57
1.63
1.9
2.28
2.24
2.38
2.51
2.59
2.81
2.86
2.88
2.85
2.67
2.53
2.42
2.37
2.25
2.05
2.18
2.08
2.04
1.69
1.17
0.78
0.67
0.57
0.21
0.14
0.14
0.07
0.17
0.12
0.26
0.12
0.02
0.05
-0.05
0.01
0.06
0.02
0.05
0.02
0.02
-0.05
0.02
0.12
0.24
0.26
0.37
0.68
1.09
1.34
1.52
1.72
2.22
2.25
2.3
2.36
2.3
2.34
2.26
2.18
2.16
2.03
1.91
1.74
1.6
1.56
1.56
1.22
1.0
0.77
0.46
0.18
0.22
-0.08
-0.16
-0.02
-0.19
-0.21
-0.16
-0.21
-0.12
-0.14
-0.21
-0.27
-0.2
-0.32
-0.34
-0.37
-0.45
-0.27
-0.35
-0.37
-0.44
-0.2
0.15
0.3
0.4
0.51
0.62
1.02
1.21
1.24
1.61
1.71
1.79
1.96
1.97
2.19
2.26
2.23
2.19
2.2
2.22
2.19
2.0
1.81
1.68
1.59
1.32
1.13
1.18
1.08
0.74
0.48
0.36
0.13
-0.09
-0.31
-0.4
-0.48
-0.49
-0.41
-0.42
-0.37
-0.45
-0.49
-0.49
-0.44
-0.51
-0.61
-0.68
-0.55
-0.6
-0.62
-0.68
-0.67
-0.7
-0.55
-0.41
-0.3
0.07
0.27
0.37
0.71
0.9
1.11
1.16
1.41
1.54
1.65
1.74
1.75
1.77
1.74
1.71
1.85
1.8
1.71
1.66
1.24
1.07
0.88
0.7
0.59
0.51
0.41
0.42
0.14
-0.25
-0.32
-0.38
-0.53
-0.47
-0.47
-0.6
-0.49
-0.45
-0.51
-0.44
-0.37
-0.36
-0.47
-0.42
-0.56
-0.5
-0.54
-0.56
-0.69
-0.67
-0.53
-0.4
-0.17
0.08
0.27
0.49
0.95
1.16
1.23
1.43
1.54
1.71
1.88
1.85
1.92
1.78
1.75
1.74
1.68
1.67
1.75
1.78
1.56
1.47
1.43
1.11
1.04
0.88
0.52
0.24
0.02
-0.2
-0.39
-0.46
-0.54
-0.53
-0.51
-0.52
-0.45
-0.42
-0.42
-0.52
-0.45
-0.52
-0.47
-0.32
-0.48
-0.58
-0.58
-0.53
-0.44
-0.28
-0.27
-0.2
-0.03
0.53
0.84
1.26
1.4
1.73
1.8
1.99
2.04
2.11
