syn_obs
-0.08
0.01
0.03
0.08
0.1
0.13
0.18
0.24
0.3
0.42
0.56
0.74
0.9
1.03
1.13
1.56
2.1
2.32
2.197
2.3
2.64
2.65
2.72
3.09
3.2
3.06
2.96
2.93
2.88
2.85
2.97
2.76
nan
2.352
2.2
nan
1.707
1.42
1.35
1.264
1.077
1.03
0.68
0.52
0.44
0.39
0.29
nan
0.127
0.05
0.1
0.17
0.27
0.31
0.31
0.17
0.27
0.49
0.39
0.33
0.38
nan
0.262
0.28
0.33
0.39
0.54
0.8
nan
1.517
1.89
2.02
2.19
2.33
nan
2.751
2.94
nan
nan
nan
nan
2.916
2.82
2.71
2.65
2.5
2.5
2.21
2.03
1.93
1.56
1.18
nan
1.112
0.9
nan
0.64
0.53
0.4
0.43
0.43
0.34
0.28
0.33
0.22
0.13
0.24
0.24
0.19
0.18
0.2
0.17
0.24
0.44
0.79
0.74
0.66
0.75
1.02
1.41
1.83
2.05
2.15
2.2
2.38
2.51
2.58
2.82
2.9
2.94
2.98
2.98
2.96
2.93
2.9
2.84
3.02
2.75
2.32
2.05
1.85
1.26
1.05
1.47
1.08
0.935
0.68
0.59
0.52
0.43
0.45
0.38
0.35
0.41
0.33
0.19
0.23
0.13
0.18
0.25
0.25
0.22
0.14
0.24
0.18
0.21
0.18
0.24
0.4
0.65
1.04
1.19
1.32
1.4
1.73
1.96
1.91
2.11
2.3
2.58
2.85
2.89
2.97
2.94
2.89
2.88
2.98
2.87
2.67
2.6
2.56
2.49
2.33
2.29
1.96
1.45
1.05
0.82
0.69
0.43
0.38
0.42
0.45
0.47
0.38
0.49
0.5
0.6
0.4
0.37
0.34
0.53
0.29
0.21
0.33
0.27
