syn_obs
2.56
2.49
2.33
2.29
1.96
1.45
1.05
0.82
0.69
0.43
0.38
0.42
0.45
0.47
0.38
0.49
0.5
0.6
0.4
0.37
0.34
0.53
0.29
0.21
0.33
0.27
0.24
0.24
0.24
0.32
0.36
0.6
0.79
1.11
1.42
1.77
2.0
2.13
2.26
2.4
2.83
2.85
3.03
2.98
2.83
2.93
2.89
2.86
3.04
2.9
2.76
2.46
2.24
2.16
1.94
1.76
1.41
1.23
1.24
0.99
0.68
0.59
0.49
0.47
0.36
0.41
0.41
0.51
0.36
0.55
0.36
0.28
0.32
0.42
0.16
0.21
0.39
0.34
